creator_name,keywords,keyword_count
(주)희망정거장,"['뮤지션', '서포팅”', '대구', '지역', '활동', '차별화된', '서포팅', '통한', '음악', '문화', '블렌디드', '뮤직', '페스티벌', '진행/뮤지션', '네트워킹', '형성/참여', '뮤지션', '기획', '공연', '영상제작']",20
애니먼,"['한', '반려동물', '기능성', '식품”', '대구', '한약', '사용하여', '기능별', '한약', '겪는', '개선', '하는', '기능성', '반려동물', '식품', '개발']",16
더달(THE DAL),"['“YOUR', 'NOTE:', '담은', '날', '주문하고', '찾아가는', '약령시', '이용한', '담금주', '기념일', '위한', '컨텐츠', '개발', '담금주', '오프라인', '클래스', '통한', '지역', '관광객', '유치', '지역', '블랜딩한', '담금주', '상품', '개발']",25
와룡총각,"['“한돈', '능이버섯', '수제', '떡갈비”', '대구', '활용한', '다양한', '‘한돈', '능이버섯', '수제', '떡갈비’개발', '온오프라인', '통한', '와룡시장', '경제', '활성화']",16
우니스,"['“대구안경산업공단', '담은', '웹', '드로잉', '애니메이션”', '세계', '4대', '안경', '공단인', '대구', '침산', '활용하여', '안경관련', '‘캐릭터', '개발’', '‘소셜', '카툰’', '콘텐츠', '개발']",19
주식회사 먼데인먼데이,"['“빅', '데이터', '기반', '현대인', '발', '최적화된', '신규', '사이즈', '체계', '적용', '맞춤', '구두”', '빅데이터', '통해', '1975년', '규격화된', '사이즈', '변화한', '현대인', '발', '최적화된', '제공하는', '대구', '향촌', '수제화', '공방', '공방별', '독자적', '활용하여', '개발']",30
주식회사 지웍스,"['“대구', '팔공산', '왕건', '사과빵', '개발”', '100년된', '대구', '팔공산', '왕건길', '담은', '왕건사과빵', '개발', '통한', '온오프라인', '판매']",15
지야,"['“판매되지', '못한', '대구', '로컬', '섬유', '활용한', '업사이클링', '데스크테리어', '제품', '개발”', '대구에서', '판매되지', '못해', '버려지는', '고품질', '섬유', '매입한', '후', '업사이클링', '통해', '데스크테리어', '제품', '연구', '개발']",24
차림,"['“대구', '지역', '자연환경', '지역기반제조', '활용한', '생활한복', '제작”', '원단구매부터', '봉제까지', '의류', '모든', '진행할', '수', '있는', '도시', '유무형', '활용하여', '여름엔', '덥고', '겨울엔', '추운', '대구', '날씨에도', '‘여름엔', '시원하게', '겨울엔', '따뜻하게’', '수', '있는', '현대', '전통의류', '개발']",32
(주)나래씨엔디,"['위해', '육아관련', '기반한', 'DAYLOG', '디지털출판서비스', '저출산', '지역경제', '위해', '육아관련', '만드는', '디지털', '육아앨범', '손쉬운', '제작할', '수', '있는', '앱', '개발']",18
(주)메디프랜,"['“대구', '반야월지역', '연근', '사용한', '메디시티', '대구', '천연치약', '제조', '판매”', '전국', '차지하는', '대구', '반야월', '하는', '항염증', '잇몸치료', '천연', 'No-chemical', '생산']",19
(주)에스앤에스연구소,"['활성화', '되어있는', '활용한', '3D', '입체', '직물', '활용한', '비공기패드형', '욕창', '방석', '개발”', '인력', '충분히', '활용하여', '중장기', '휠체어', '위한', '신소재', '욕창방석개발', '대구지역네', '경제활성화']",21
cmnmstudio,"['“대구', '대구', '연결하여', '대구패션', '협업', '생태계', '구축”', '대구기반', '비효율적인', '연결하는', '대구', '패션유통', '플랫폼', '구축']",14
가게(GAGE),"['“대구', '안경산업', '활용하여', '제조한', '멀티안구', '적용가능한', '초기능성', '안전', '안경”', '대구지역', '안경', '다양한', '소재', '사업', '접목', '통한', '고기능성', '안전', '안경', '개발']",20
그린페이스,"['“우범', '지대였던', '대구', '동화속', '체험서비스제공”', '대구', '담긴', '담아', '파는', '동화속', '필요한', '소품', '대여하여', '즐겁게', '체험하는', '서비스제공']",16
농업회사법인(주)희망토,"['“도심속', '대구', '수성구', '활용한', '스마트', '주말', '농장”', '상존하는', '노지', '넘어선', '365일', '가능한', '스마트', '주말농장', '운영']",15
모던앤이노베이션코리아,"['“대구', '안경', '활용한', '안경테”', '한국', '안경테', '차지하는', '대구', '활성화', '시킬수', '있는', '안경테', '제조']",13
북성로공구빵,"['“대구', '근대식', '위치했던', '상징하는', '빵', '제작', '지역', '관광상품화”', '대구', '간직하고', '있는', '유일한', '주물공장', '협업하여', '담은', '공구모양', '너트', '공구', '만들어', '판매', '공구', '모티브', '도자기·금속', '소품', '제작']",25
엑스큐브,"['함께', '처음', '방문한', '현지인처럼', '여행할', '수', '있는', '스마트', '대구관광', '플랫폼”', '비롯한', '두류공원', '숨겨진', '알리기', '위해', '활용한', '실감나는', '제공하는', '비대면', '스마트', '대구', '관광플랫폼', '제작']",23
주식회사 데이그린,"['고급숙련', '장인', '수공예품', '온라인', '유통', '사업', '시제품디자인', '대구', '패션', '주얼리', '수제화', '수공예', '작품', '거래', '플랫폼', '구축']",16
주식회사 라이프글라스,"['“우리나라', '안경산업', '중심지인', '대구', '적용', '가능한', '치수측정', '기반', '개인', '맞춤형', '아이웨어', '플랫폼', '‘마이글라스’', '개발”', '대구', '안경특구', '내', '안경제조공장', '공장직영', '브랜드', 'B2C', '직거래', '수요망', '위해', '가상피팅', '도입한', '개인', '맞춤형', '안경제작', '플랫폼', '개발', '보급']",32
주식회사 아트라미,"['“독립', '연결하는', '복합문화공간”', '김광석거리', '예술관련', '인프라', '활동할', '수', '있는', '오프라인', '운영']",11
주식회사 케이센스,"['“대구', '약령시', '활용한', '힐링트렌드', '동의보감', '따른', '대구시', '한방특구', '내', '천연', '영릉향', '연소형', '활용한', '다양한', '힐링', '방향제품', '제조', '판매']",18
플라낭,"['화훼', '활용한', '직거래', '온라인', '플라워샵”', '대구에서', '소비될', '수', '있도록', '꽃시장', '혁신하여', '통한', '효율적인', '소비', '솔루션', '개발']",16
루프세터,"['대구', '최초', '백화점', '계승하는', '‘인터렉티브', '미디어', '아트’', '콘텐츠', '대구광역시', '중구', '보존한', '‘무영당’', '활용하여', '‘루프세터’', '독특한', '콘텐츠', '디지털', '미디어아트', '접목한', '지역', '거점', '지역', '유형', '통해', '확장시키는', '프로젝트']",26
샤보드레,"['지역', '응용한', '체험', '활동', '공간', '특산물', '개발']",7
아러바웃 (r.about),"['활용한', '맞춤형', '기능성', '입욕제', '개발', '뛰어난', '한약재', '한약재', '활용하여', '맞춤형', '천연', '입욕제', '개발']",13
아트맵,"['키오스크', '송출', '기반', '지역', '문화', '전시회', '큐레이션', '서비스', '지하철역', '등에서', '지역', '내', '전시회', '제공', '받는', '아트', '큐레이션', '제공']",18
제이씨디,"['달서구', '활성화', '관광', '플랫폼', '달서구', '활성화', '지역특화상품', '온라인', '판매']",9
주식회사 이번주말,"['대구', '골목살롱', ':', '로컬', '돕는', '소셜클럽', '플랫폼', '로컬', '문화예술', '체험', '연결해주는', '네트워킹', '플랫폼']",13
주식회사크레프트웍스,"['청년', '도우미', '플랫폼', '‘대구아트엔터’', '대구', '중구', '패션주얼리특구', '청년예술', '위한', '홍보', '도우미', '젊은층', '통한', '예술기반', '관광거리']",15
칠성반고개무침회,"['“대구', '10味', '반고개', '무침회', '밀키트”', '대구', '사랑받고', '있는', '반고개', '납작만두', '개발', '온라인', '확장']",13
주식회사 아트숨,"['대구', '지역', '기반', '뮤지션', '대명', '공연거리', '대구', '뮤지션', '대명', '활용하여', '소규모', '대중화', '되어가는', '현', '맞춘', '통해', '지역기반', '일자리', '창출', '한', 'K콘텐츠', '판매']",22
디스모먼트,"['로컬', '활용한', '위한', '전용', '카시트', '전국', '차지하는', '사용되고', '폐기되어', '지는', '폐섬유', '중', '리사이클하여', '반려견', '반려동물', '사용', '로컬', '기능성', '섬유', '통해', '커버', '제작']",22
모던글로벌,"['이용하여', '강화한', '식사대용', '다이어트', '분말', '식품', '제조', '버려지는', '낮은', '가공한', '홍삼분말', '배합한', '다이어트', '분말', '쉐이크', '개발']",16
